嗚呼	ああ	aa	Ah!, Oh!, Alas!	Ах!; О!; Увы !
躾	しつけ	shitsuke	home discipline, training, upbringing, breeding	обучение; воспитание
仕付ける	しつける	shitsukeru	to be used to a job, to begin to do, to baste, to tack, to plant	смётывать; сшивать на скорую руку; сажать (рассаду)
指摘	してき	shiteki	pointing out, identification	указание; идентификация
視点	してん	shiten	opinion, point of view, visual point	мнение; точка зрения
萎びる	しなびる	shinabiru	to wilt, to fade	слабеть; исчезать
嫋か	しなやか	shinayaka	supple, flexible, elastic	эластичный; гибкий; упругий
屎尿	しにょう	shinyou	excreta, raw sewage, human waste, night soil	экскременты; неочищенные сточные воды
凌ぐ	しのぐ	shinogu	to outdo, to surpass, to endure, to keep out (rain), to stave off, to tide over, to pull through, to defy, t	терпеть; выносить
始発	しはつ	shihatsu	first train	первый поезд
芝	しば	shiba	lawn, sod, turf	газон; торф
屡	しばしば	shibashiba	often, again and again, frequently	часто; снова и снова
暫く	しばらく	shibaraku	little while	некоторое время
痺れる	しびれる	shibireru	to become numb, to go to sleep (i.e. a limb)	затекать; неметь
渋い	しぶい	shibui	1. tasteful (clothing), cool, an aura of refined masculinity, 2. astringent, sullen, bitter (taste), 3	со вкусом (одежда); прохладно; терпкий; угрюмый; горький (вкус)
私物	しぶつ	shibutsu	private property, personal effects	частная собственность; личные вещи
	しぶとい	shibutoi	tenacious, stubborn	цепкий; упрямый
司法	しほう	shihou	administration of justice	отправление правосудия
脂肪	しぼう	shibou	fat, grease, blubber	жир
志望	しぼう	shibou	wish, desire, ambition	желание; стремление; честолюбие
萎む	しぼむ	shibomu	to wither, to fade (away), to shrivel, to wilt	вянуть; сохнуть; блёкнуть
仕舞	しまい	shimai	end, termination, informal (Noh play)	конец; прекращение
仕舞う	しまう	shimau	to finish, to close, to do something completely, to put away, to put an end to	делать до конца; полностью сделать что-то
	しまった	shimatta	Damn it!	черт побери!
始末	しまつ	shimatsu	management, dealing, settlement, cleaning up afterwards	обстоятельства,детали чего-л.; возможность справиться
泌み泌み	しみじみ	shimijimi	keenly, deeply, heartily	остро; глубоко; сердечно
染みる	しみる	shimiru	to pierce, to permeate	проникать
使命	しめい	shimei	mission, errand, message	миссия; поручение; назначение
締め切り	しめきり	shimekiri	closing, cut-off, end, deadline, Closed, No Entrance	не закрытие; отсечение; конец; срок; закрытое; не вход
僕	しもべ	shimobe	manservant, servant (of God)	слуга
社交	しゃこう	shakou	social life, social intercourse	социальная жизнь
謝絶	しゃぜつ	shazetsu	refusal	отказ
社宅	しゃたく	shataku	company owned house	жилой дом для работников компании
吃逆	しゃっくり	shakkuri	hiccough, hiccup	икота
喋る	しゃべる	shaberu	to talk, to chat, to chatter	говорить; общаться; болтать
斜面	しゃめん	shamen	slope, slanting surface, bevel	склон; наклонная поверхность
洒落	しゃらく	sharaku	frank, open-hearted	откровенно говоря; с открытым сердцем
洒落る	しゃれる	shareru	to joke, to play on words, to dress stylishly	шутить; играть на словах; одеваться стильно
視野	しや	shiya	field of vision, outlook	поле зрения; перспективы
種	しゅ	shu	kind, variety, species	разнообразие; вид; сорт
衆	しゅう	shuu	masses, great number, the people	массы; люди
周	しゅう	shuu	circuit, lap, circumference, vicinity, Chou (dynasty)	схема; круг; окружность; окрестности; Чжоу (династия)
