嗚呼	ああ	aa	Ах!; О!; Увы !
出演	しゅつえん	shutsuen	выход (на сцену,арену и т.п.); выступление
出題	しゅつだい	shutsudai	предложив вопрос
出動	しゅつどう	shutsudou	выступать (в поход); выходить (в море); вводиться в действие 
主導	しゅどう	shudou	основное руководство
主任	しゅにん	shunin	ответственное лицо 
首脳	しゅのう	shunou	голова; мозги
守備	しゅび	shubi	защита
手法	しゅほう	shuhou	техника
私有	しゆう	shiyuu	частная собственность
諸	しょ	sho	разнообразный; многие; несколько
背負う	しょう	shou	быть обремененным; проводить на спине или плече
象	しょう	shou	явление
症	しょう	shou	болезнь
傷	しょう	shou	рана; травма; боль; рана; ушиб; царапина; шрам; слабое место
商	しょう	shou	частное
消去	しょうきょ	shoukyo	устранение; удаление 
衝撃	しょうげき	shougeki	столкновение; удар; толчок; импульс; шок; потрясение
証言	しょうげん	shougen	свидетельство; показания
証拠	しょうこ	shouko	доказательство
消耗	しょうこう	shoukou	истощение; потребление
照合	しょうごう	shougou	сортировка; сравнение
詳細	しょうさい	shousai	детали; данные
昇進	しょうしん	shoushin	продвижение
少数	しょうすう	shousuu	меньшинство; малое количество
称する	しょうする	shousuru	притворяться; симулировать 
消息	しょうそく	shousoku	известия; сведения; данные
承諾	しょうだく	shoudaku	согласие; соглашение
象徴	しょうちょう	shouchou	символ
小児科	しょうにか	shounika	педиатрия
証人	しょうにん	shounin	свидетель
照明	しょうめい	shoumei	освещение
勝利	しょうり	shouri	победа; триумф; завоевание; успех; победа
奨励	しょうれい	shourei	поощрение; продвижение по службе
職員	しょくいん	shokuin	сотрудник персонала
植民地	しょくみんち	shokuminchi	колония
職務	しょくむ	shokumu	профессиональные обязанности
諸君	しょくん	shokun	Господа!; Дамы !
所在	しょざい	shozai	местонахождение
所々	しょしょ	shosho	тут и там; некоторые части (чего-то)
所持	しょじ	shoji	владение; владелец
所属	しょぞく	shozoku	быть прикрепленным к; принадлежать
処置	しょち	shochi	лечение
	しょっちゅう	shocchuu	всегда; постоянно
所定	しょてい	shotei	фиксированный; предписанный
所得	しょとく	shotoku	доход; прибыль
初版	しょはん	shohan	первое издание
処罰	しょばつ	shobatsu	наказание
書評	しょひょう	shohyou	книжное обозрение
処分	しょぶん	shobun	распоряжение; наказание
庶民	しょみん	shomin	массы; простые люди
庶務	しょむ	shomu	общие вопросы
私用	しよう	shiyou	личное пользование; частный бизнес
仕様	しよう	shiyou	способ; метод; ресурс; средство; (техническая) спецификация
